Model,Brand,Price ($),Price Range,Year,Exterior color,Interior color,Seats,Range (mi),Fast Charging L3 (minutes),Mileage (mi),Performance (HP),Charging type,Battery Size (kWh),Battery Warranty (months),Battery Warranty (miles),VIN,URL
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL0RZ509576,https://ev.com/vehicle/x50ocd
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL0RZ517886,https://ev.com/vehicle/g9i11n
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,8.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL1RZ517363,https://ev.com/vehicle/fti7up
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL2RZ509563,https://ev.com/vehicle/340v8g
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL2RZ512320,https://ev.com/vehicle/4wug3q
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL2RZ512768,https://ev.com/vehicle/dgv6h2
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL3RZ508860,https://ev.com/vehicle/kw7to6
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL3RZ510690,https://ev.com/vehicle/cjvegn
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL3RZ511032,https://ev.com/vehicle/trnj55
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL4RZ509807,https://ev.com/vehicle/k8x77j
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL4RZ511069,https://ev.com/vehicle/kvqgc2
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL4RZ511198,https://ev.com/vehicle/a1jw1j
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ512148,https://ev.com/vehicle/poukk8
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ512361,https://ev.com/vehicle/ozdg33
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ514594,https://ev.com/vehicle/9323z1
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ510697,https://ev.com/vehicle/1k5seu
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ510778,https://ev.com/vehicle/z5yan1
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ511025,https://ev.com/vehicle/z89kxn
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL8RZ510636,https://ev.com/vehicle/svs9jg
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL1RZ514478,https://ev.com/vehicle/x9y99q
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL1RZ518028,https://ev.com/vehicle/flewx5
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL5RZ515407,https://ev.com/vehicle/rogczq
Zdxtype S,Acura,56525.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL5RZ516301,https://ev.com/vehicle/8s22rq
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL6RZ516212,https://ev.com/vehicle/58801c
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL9RZ515829,https://ev.com/vehicle/mokj8o
Zdxtype S,Acura,57125.0,High,2024.0,Unknown,Unknown,5.0,278.0,42.0,11.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRLXRZ515855,https://ev.com/vehicle/s63t3c
Zdxa-Spec,Acura,50775.0,Medium,2024.0,Blue,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL4RZ504901,https://ev.com/vehicle/llqtg2
Zdxtype S,Acura,55775.0,High,2024.0,Black,Red,5.0,278.0,42.0,3.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL4RZ518850,https://ev.com/vehicle/akylt2
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Orchid,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK6RZ509289,https://ev.com/vehicle/l694e7
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Blue,Orchid,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK0RZ515721,https://ev.com/vehicle/5rgjrr
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Ebony,5.0,313.0,42.0,9.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK1RZ510592,https://ev.com/vehicle/am7922
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Orchid,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK1RZ515971,https://ev.com/vehicle/ghstgi
Zdxa-Spec,Acura,47525.0,Medium,2024.0,Silver,Red,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK2RZ515753,https://ev.com/vehicle/5dcixv
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Black,Ebony,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK2RZ517518,https://ev.com/vehicle/ntfvkw
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Ebony,5.0,313.0,42.0,8.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK3RZ514577,https://ev.com/vehicle/ub9dgz
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Ebony,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK4RZ515642,https://ev.com/vehicle/t9kc28
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Ebony,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK8RZ515692,https://ev.com/vehicle/cz49ub
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Red,Ebony,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL2RZ512687,https://ev.com/vehicle/apt0z3
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Red,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL7RZ515004,https://ev.com/vehicle/cxyqd6
Zdxa-Spec,Acura,48125.0,Medium,2024.0,White,Ebony,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK0RZ516738,https://ev.com/vehicle/46cqzd
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Ebony,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK8RZ517958,https://ev.com/vehicle/5shb0m
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Orchid,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK2RZ515140,https://ev.com/vehicle/vlkshh
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Red,5.0,313.0,42.0,3.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK3RZ516913,https://ev.com/vehicle/6vl3kq
Zdxtype S,Acura,58690.0,High,2024.0,Black,Ebony,5.0,278.0,42.0,3.0,499.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5XHPRL4RZ516130,https://ev.com/vehicle/5itbfb
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Ebony,5.0,313.0,42.0,4.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK8RZ515773,https://ev.com/vehicle/me11sl
Zdxa-Spec,Acura,49690.0,Medium,2024.0,Scarlet Red Metallic,Orchid,5.0,313.0,42.0,5.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK0RZ511734,https://ev.com/vehicle/1pw01k
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Snowfall Pearl,Ebony,5.0,304.0,42.0,5.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL1RZ508369,https://ev.com/vehicle/8immws
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Snowfall Pearl,Orchid,5.0,304.0,42.0,5.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL0RZ514311,https://ev.com/vehicle/nmt7pl
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Unknown,Unknown,5.0,313.0,42.0,11.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK3RZ511372,https://ev.com/vehicle/skwjm1
Zdxa-Spec,Acura,49690.0,Medium,2024.0,Black,Ebony,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK9RZ516334,https://ev.com/vehicle/q7z8zl
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Snowfall Pearl,Ebony,5.0,313.0,42.0,5.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK8RZ514543,https://ev.com/vehicle/nuyytp
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Mercury Silver Metallic,Red,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ509752,https://ev.com/vehicle/59bfx1
Zdxa-Spec,Acura,53690.0,Medium,2024.0,Snowfall Pearl,Red,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ513101,https://ev.com/vehicle/29g3s2
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Cosmic Black Metallic,Red,5.0,313.0,42.0,5.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK2RZ519222,https://ev.com/vehicle/e13gbq
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Blue Abyss Metallic,Orchid,5.0,313.0,42.0,5.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK1RZ514514,https://ev.com/vehicle/2eexi2
Zdxa-Spec,Acura,48125.0,Medium,2024.0,White,Orchid,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK3RZ513364,https://ev.com/vehicle/m8ot3u
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Red,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK1RZ518109,https://ev.com/vehicle/lbixju
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Snowfall Pearl,Red,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ519357,https://ev.com/vehicle/wz88e7
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Red,Ebony,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK6RZ510443,https://ev.com/vehicle/413sql
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Ebony,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK0RZ515010,https://ev.com/vehicle/hgtl2b
Zdxa-Spec,Acura,50690.0,Medium,2024.0,White,Red,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ517410,https://ev.com/vehicle/qjai8d
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ514921,https://ev.com/vehicle/0ukje7
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Blue,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL8RZ514380,https://ev.com/vehicle/fhpm3t
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Red,5.0,304.0,42.0,96353.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL8RZ516131,https://ev.com/vehicle/xtjqxi
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Red,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL8RZ517179,https://ev.com/vehicle/hzm0kf
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL9RZ514341,https://ev.com/vehicle/vexpme
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Red,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRLXRZ513960,https://ev.com/vehicle/yjsi6q
Zdxa-Spec,Acura,45125.0,Medium,2024.0,Black,Ebony,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK3RZ509170,https://ev.com/vehicle/tyqhdg
Zdxa-Spec,Acura,48525.0,Medium,2024.0,Silver,Red,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL8RZ508157,https://ev.com/vehicle/rhewmt
Zdxa-Spec,Acura,53690.0,Medium,2024.0,White,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL9RZ513965,https://ev.com/vehicle/hjfwft
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Silver,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRLXRZ518379,https://ev.com/vehicle/2qwje5
Zdxa-Spec,Acura,50775.0,Medium,2024.0,White,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL0RZ504636,https://ev.com/vehicle/5te2d0
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Blue,Ebony,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK9RZ516446,https://ev.com/vehicle/burj3x
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Blue,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL3RZ514285,https://ev.com/vehicle/b3rhgn
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Black,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ514054,https://ev.com/vehicle/h50lv9
Zdxa-Spec,Acura,49690.0,Medium,2024.0,White,Orchid,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK5RZ515133,https://ev.com/vehicle/nbhc3t
Zdxa-Spec,Acura,52125.0,Medium,2024.0,White,Orchid,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL9RZ510824,https://ev.com/vehicle/qvvjdf
Zdxa-Spec,Acura,53690.0,Medium,2024.0,White,Ebony,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRLXRZ511156,https://ev.com/vehicle/glbc1v
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Blue,Orchid,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK1RZ516098,https://ev.com/vehicle/7u0grc
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Black,Red,5.0,313.0,42.0,12000.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK4RZ518492,https://ev.com/vehicle/cs7n6n
Zdxa-Spec,Acura,51525.0,Medium,2024.0,Silver,Red,5.0,304.0,42.0,12000.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL5RZ513994,https://ev.com/vehicle/pdnafd
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Unknown,Unknown,5.0,313.0,42.0,11.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK8RZ519516,https://ev.com/vehicle/f4snea
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,11.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL9RZ513464,https://ev.com/vehicle/6y65rk
Zdxa-Spec,Acura,48125.0,Medium,2024.0,Unknown,Unknown,5.0,313.0,42.0,4.0,358.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHMRK9RZ515040,https://ev.com/vehicle/0xgszl
Zdxa-Spec,Acura,52125.0,Medium,2024.0,Unknown,Unknown,5.0,304.0,42.0,9.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL6RZ516614,https://ev.com/vehicle/bapoa8
Zdxa-Spec,Acura,53690.0,Medium,2024.0,Scarlet Red Metallic,Orchid,5.0,304.0,42.0,3.0,490.0,SAE CCS DC fast charge connector,102.0,96.0,100000.0,4W5KHNRL4RZ509371,https://ev.com/vehicle/38ras6
Tonaleti Eawd,Alfa Romeo,45531.0,Medium,2024.0,White,Blk Perforated Lth Seat,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATCW0R3041872,https://ev.com/vehicle/snhcod
Tonaleti Eawd,Alfa Romeo,42158.0,Medium,2024.0,White,Tan/Blk Sport Clth Seat W,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATCW0R3082017,https://ev.com/vehicle/9gl7pa
Tonaleti Eawd,Alfa Romeo,41873.0,Medium,2024.0,Unknown,Tan/Blk Sport Clth Seat W,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATCW9R3056788,https://ev.com/vehicle/pmh7q3
Tonalespeciale Eawd,Alfa Romeo,47098.0,Medium,2024.0,Unknown,Blk Perforated Lth Seat,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATSW4R3077453,https://ev.com/vehicle/nh07vy
Tonaleveloce Eawd,Alfa Romeo,41675.0,Medium,2024.0,White,Black,5.0,35.0,30.0,122.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATDWXR3041229,https://ev.com/vehicle/uct2af
Tonaleti Eawd,Alfa Romeo,41365.0,Medium,2024.0,Blue,Tan/Blk Sport Clth Seat W,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATCW0R3043279,https://ev.com/vehicle/yyu0yd
Tonaleveloce Eawd,Alfa Romeo,49735.0,Medium,2024.0,Unknown,Blk Perforated Lth Seat,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATDWXR3042557,https://ev.com/vehicle/ryyk4c
Tonaleveloce Eawd,Alfa Romeo,45078.0,Medium,2024.0,Black,Red/Blk Perforated Alcant,5.0,35.0,30.0,5.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATDW5R3051456,https://ev.com/vehicle/me63j6
Tonaleeawd,Alfa Romeo,45320.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW0S3089719,https://ev.com/vehicle/ayf5y3
Tonaleeawd,Alfa Romeo,44625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW0S3089882,https://ev.com/vehicle/ime0v3
Tonaleeawd,Alfa Romeo,51320.0,Medium,2025.0,Silver,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW0S3090269,https://ev.com/vehicle/ihfeca
Tonaleeawd,Alfa Romeo,45320.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW1S3089650,https://ev.com/vehicle/zuw7fg
Tonaleeawd,Alfa Romeo,50625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3089267,https://ev.com/vehicle/pscpa5
Tonaleeawd,Alfa Romeo,48625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3089303,https://ev.com/vehicle/pp4hvm
Tonaleeawd,Alfa Romeo,45225.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3090841,https://ev.com/vehicle/v6mzgh
Tonaleeawd,Alfa Romeo,44625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW4S3089884,https://ev.com/vehicle/4r2mk1
Tonaleeawd,Alfa Romeo,45920.0,Medium,2025.0,Blue,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW3S3090489,https://ev.com/vehicle/7j8wd3
Tonaleeawd,Alfa Romeo,44625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW8S3089564,https://ev.com/vehicle/ohsgjc
Tonaleeawd,Alfa Romeo,48625.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW6S3089191,https://ev.com/vehicle/o8rye4
Tonaleeawd,Alfa Romeo,49320.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW7S3088793,https://ev.com/vehicle/pzgkf2
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Silver,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW0S3091521,https://ev.com/vehicle/q9vclr
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Unknown,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3091567,https://ev.com/vehicle/abvmic
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3091651,https://ev.com/vehicle/ngd8o4
Tonaleeawd,Alfa Romeo,43225.0,Medium,2025.0,White,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW2S3091830,https://ev.com/vehicle/rb9p6s
Tonaleeawd,Alfa Romeo,50320.0,Medium,2025.0,Unknown,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW4S3090534,https://ev.com/vehicle/6mlcks
Tonaleeawd,Alfa Romeo,45320.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW7S3091614,https://ev.com/vehicle/a53dd6
Tonaleeawd,Alfa Romeo,45320.0,Medium,2025.0,Silver,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW8S3089886,https://ev.com/vehicle/oummj2
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Unknown,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW8S3091346,https://ev.com/vehicle/7cx5cz
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW8S3091444,https://ev.com/vehicle/7469px
Tonaleeawd,Alfa Romeo,43920.0,Medium,2025.0,Black,Xk,5.0,35.0,30.0,1.0,180.0,SAE CCS DC fast charge connector,15.5,96.0,80000.0,ZASPATAW8S3091606,https://ev.com/vehicle/vj3g6e
