Car name,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
Volkswagen ID.4 X PRIME,Hunan; China,NONE,VOLKSWAGEN,2022,405.0,35700,5752,180,82.0,261,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-x-prime
Volkswagen ID.4 Lite Pro,Hunan; China,NONE,VOLKSWAGEN,2022,550.0,70168,5752,160,84.8,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-lite-pro
Volkswagen ID4 X PURE +,Hunan; China,NONE,VOLKSWAGEN,2022,285.0,28500,5752,160,52.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-397
Volkswagen ID.4 Pure+ X,Hunan; China,NONE,VOLKSWAGEN,2022,280.0,70168,5752,160,83.4,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id-4-pure-x
Roewe Rising Auto ER6,Hunan; China,NONE,Roewe,2022,620.0,24200,5752,185,69.9,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/roewe-rising-auto-er6
Tesla Model Y 2021,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2021,507.0,70765,5752,217,75.0,346,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-y-2021
Tesla Model X Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2020,507.0,99570,5752,250,100.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-maximum-range
Tesla Model X 100D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,565.0,83224,5752,250,100.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-392
Tesla Model X 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2022,499.0,78739,5752,250,100.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-maximum-range-391
Tesla Model X 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,565.0,73555,5752,250,100.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-maximum-range-390
Tesla Model X 100D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2016,542.0,72988,5752,250,100.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-x-100d-389
Tesla Model 3 AWD,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2020,560.0,55317,5752,233,75.0,435,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-awd
Tesla Model 3 Maximum Range AWD,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2019,560.0,49834,5752,233,75.0,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-maximum-range-awd
Tesla Model 3 2019 AWD,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2019,560.0,49834,5752,233,75.0,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3-2019-awd
Tesla Model 3,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2019,560.0,46844,5752,233,75.0,341,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-3
Tesla Model S 100D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2019,613.0,74751,5752,250,100.0,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-384
Tesla Model S 100D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2019,632.0,73257,5752,250,100.0,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-100d-383
2018 Model S 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,632.0,69869,5752,250,100.0,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-382
2018 Model S 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,632.0,66878,5752,250,100.0,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-381
2018 Model S 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,632.0,63091,5752,250,100.0,604,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-380
2018 Model S 100D Maximum range,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,632.0,62791,5752,250,100.0,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/2018-model-s-100d-maximum-range-379
Tesla Model S D100,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2017,632.0,56313,5752,225,100.0,603,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-d100
Tesla Model S 75D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2018,490.0,49969,5752,225,75.0,422,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d
Tesla Model S 75D 2016,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2016,490.0,43981,5752,250,75.0,328,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-75d-2016
Tesla Model S 2017 90D,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,TESLA,2017,557.0,53977,5752,250,93.0,690,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/tesla-model-s-2017-90d
BMW i4 M50,Germany Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,510.0,88554,5752,225,83.9,537,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-i4-m50-374
BMW i4 eDrive40,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,590.0,69156,5752,190,83.9,335,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-i4-edrive40
BMW iX M60,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,565.0,141230,5752,250,112.0,611,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-m60
BMW iX xDrive50,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,630.0,116150,5752,200,112.0,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-xdrive50
BMW iX xDrive40,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,425.0,84738,5752,200,76.6,322,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix-xdrive40
Porsche Taycan Turbo Sport,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,419.0,188207,5752,250,93.4,751,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-sport-369
Porsche Taycan Turbo Cross,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,452.0,169276,5752,250,93.7,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-cross
BMW iX3,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,BMW,2022,520.0,67410,5752,180,80.0,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/bmw-ix3-367
Mercedes-Benz EQS 580 4Matic,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,MERCEDES,2022,560.0,196671,5752,210,108.0,516,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/mercedes-benz-eqs-580-4matic
Porsche Taycan,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2021,431.0,104480,5752,230,79.2,379,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-365
Porsche Taycan,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,431.0,117708,5752,230,79.2,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-364
Porsche Taycan Turbo,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2020,450.0,133107,5752,260,93.4,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo
Porsche Taycan Turbo Sport,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,491.0,164652,5752,260,3.2,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-sport-362
Porsche Taycan Turbo S Sport,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,412.0,221747,5752,260,93.4,751,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-turbo-s-sport-tur
Porsche Taycan Sport Turismo,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,433.0,118225,5752,230,79.2,322,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-sport-turismo
Porsche Taycan GTS | Hockenheim,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,504.0,188479,5752,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-hockenheim
Porsche Taycan | GTS Sport,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,490.0,167886,5752,250,93.4,590,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-gts-sport
Porsche Taycan 4S | SportDesign,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2021,407.0,121307,5752,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-sportdesign
Porsche Taycan 4S | Performance,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2021,462.0,112928,5752,250,93.4,563,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s-performance
Porsche Taycan 4S,Dr.-Wandinger-Strasse 5 94447 Plattling,NONE,PORSCHE,2021,407.0,123130,5752,250,79.2,523,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4s
Porsche Taycan 4 Cross Turismo,Unknown,NONE,PORSCHE,2022,456.0,124356,5752,220,93.4,470,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-354
Porsche Taycan 4 Cross Turismo,Dr.-Wandinger-Strasse 5 94447 Plattling; Germany,NONE,PORSCHE,2022,452.0,131615,5752,220,93.4,476,https://motorwatt.com/ev-marketplace/electric-cars/ev/germany/porsche-taycan-4-cross-turismo-353
BYD YUAN Flagship,Hunan; China,NONE,BYD Auto,2022,510.0,25500,5752,175,60.5,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-flagship
Tesla Model Y (standart),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,TESLA,2021,507.0,65000,5752,217,75.0,346,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-y-standart
VOLKSWAGEN E-BORA,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,VOLKSWAGEN,2022,370.0,24000,5752,150,39.8,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-e-bora
Mercedes-Benz EQC 400,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,MERCEDES,2022,417.0,101000,5752,180,80.0,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/mercedes-benz-eqc-400-349
LEXUS UX300e,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,LEXUS,2020,400.0,45000,5752,160,54.3,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/lexus-ux300e-348
ENOVATE ME 7 (top version),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,ENOVATE,2021,550.0,38000,5752,160,87.0,215,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/enovate-me-7-top-version
HONGQI E-HS9 (top version),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,HongQi,2022,660.0,140000,5752,200,120.0,543,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/hongqi-e-hs9-top-version
TOYOTA C-HR EV,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,TOYOTA,2021,400.0,35000,5752,160,54.3,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/toyota-c-hr-ev
WELTMEISTER EX5-Z FUN 400 (top),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,WELTMEISTER,2022,403.0,35000,5752,150,52.6,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/weltmeister-ex5-z-fun-400-top
BYD TANG EV (top version),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,BYD Auto,2021,565.0,62000,5752,180,180.0,565,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/byd-tang-ev-top-version
HONDA M-NV (top version),"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,DONGFENG,2021,480.0,34000,5752,140,61.0,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/honda-m-nv-top-version
AUDI Q2L E-tron,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,AUDI,2021,265.0,36000,5752,150,39.7,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/audi-q2l-e-tron
Zeekr 001 YOU,Hunan; China,NONE,ZEEKR,2022,650.0,62500,5752,200,100.0,208,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-you-339
Voyah Free (top version),Hunan; China,NONE,DONGFENG,2022,475.0,55000,5752,200,88.0,693,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-top-version
VOLVO Polestar (single motor),Hunan; China,NONE,VOLVO,2022,510.0,39000,5752,160,78.0,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-polestar-single-motor
NIO ET7 (CUSTOM),Hunan; China,NONE,NIO,2022,700.0,81000,5752,200,100.0,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-et7-custom
Nio ES8 (Seven-seat version),Hunan; China,NONE,NIO,2022,425.0,81600,5752,200,84.0,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es8-seven-seat-version
Nio ES6,Hunan; China,NONE,NIO,2022,510.0,71150,5752,200,84.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es6
Neta U pro 500,Hunan; China,NONE,Hozon Auto,2022,500.0,27800,5752,155,68.0,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/neta-u-pro-500
Mecedez EQS,"Hunan, China",NONE,MERCEDES,2022,450.0,114000,5752,180,80.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqs
Mecedez EQC 400,Hunan; China,NONE,MERCEDES,2022,460.0,67000,5752,180,80.0,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqc-400
Li Xang Auto L9 Extended Range,Hunan; China,NONE,Li,2022,1315.0,70300,5752,180,330.0,440,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/li-xang-auto-l9-extended-range
VOLKSWAGEN ID4 X Lite Pro,Hunan; China,NONE,VOLKSWAGEN,2022,550.0,70168,5752,160,84.8,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-lite-pro
VOLKSWAGEN ID4 X Pure +,Hunan; China,NONE,VOLKSWAGEN,2022,520.0,28500,5752,160,62.0,102,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-328
VOLKSWAGEN ID4 X Pure,Hunan; China,NONE,VOLKSWAGEN,2022,400.0,70168,5752,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-327
Huawei Seres SF5,Hunan; China,NONE,Huawei,2022,180.0,29400,5752,180,35.0,221,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/huawei-seres-sf5
HongQi EHS9,Hunan; China,NONE,HongQi,2022,660.0,92800,5752,200,120.0,543,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-ehs9
Honda e:NS 1,Hunan; China,NONE,HONDA,2022,510.0,70168,5752,150,68.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-e-ns-1
Honda MNV,"Hunan, China",NONE,HONDA,2022,480.0,21000,5752,140,61.0,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-mnv
FAW Bestune NAT,Hunan; China,NONE,FAW,2022,419.0,17300,5752,130,55.0,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-bestune-nat
BYD Song Plus,Hunan; China,NONE,BYD Auto,2022,505.0,30100,5752,185,72.0,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-song-plus
BYD Yuan Pro,Hunan; China,NONE,BYD Auto,2022,401.0,18300,5752,140,50.1,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-pro-319
BYD Yuan Plus,Hunan; China,NONE,BYD Auto,2022,510.0,25000,5752,175,60.5,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-plus
BYD Yuan Plus (Flagship Version),Hunan; China,NONE,BYD Auto,2022,510.0,26000,5752,175,60.5,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-plus-flagship-version
BYD Tang (top version) 4WD,Hunan; China,NONE,BYD Auto,2022,635.0,52000,5752,180,77.4,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-top-version-4wd
BYD Han 4WD (Qianshan Cui),Hunan; China,NONE,BYD Auto,2022,550.0,50000,5752,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-4wd-qianshan-cui
BYD Han 4WD,hunan China,NONE,BYD Auto,2022,550.0,46000,5752,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-4wd-314
BMW IX3,Hunan; China,NONE,BMW,2022,458.0,56000,5752,180,80.0,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-ix3-313
VOLKSWAGEN ID.4 CROZZ PRO,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,VOLKSWAGEN,2021,550.0,43000,5752,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-crozz-pro
Tesla Model 3 Startech + Vossen,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,TESLA,2021,438.0,70168,5752,225,50.0,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-startech-vossen
Tesla Model 3 standart,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,TESLA,2021,438.0,58000,5752,225,50.0,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-standart
Tesla Model 3 Performance,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,TESLA,2021,500.0,75000,5752,250,75.0,258,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-performance
VOLKSWAGEN ID.4 X PURE +,"Almaty 050000, Kazakhstan",NONE,VOLKSWAGEN,2021,400.0,40000,5752,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-308
VOLKSWAGEN ID.4 X PURE+,"Almaty 050000, Kazakhstan",NONE,VOLKSWAGEN,2021,400.0,40000,5752,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-307
VOLKSWAGEN ID.4 X PURE +,"улица Жибек Жолы 76, Almaty 050000, Kazakhstan",NONE,VOLKSWAGEN,2021,400.0,40000,5752,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-306
Mercedes-Benz EQC350,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",NONE,MERCEDES,2021,361.0,90000,5752,180,210.0,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/mercedes-benz-eqc350
Tesla Model Y Peformance,Shanghai,NONE,TESLA,2022,610.0,63500,5752,260,78.4,486,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/tesla-model-y-peformance
FAW ID4 crozz,Unknown,NONE,VOLKSWAGEN,2022,460.0,26888,5752,187,132.0,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/faw-id4-crozz
FAW ID.6 crozz,Unknown,NONE,VOLKSWAGEN,2022,460.0,33341,5752,187,132.0,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-id-6-crozz
BYD TANG EV 2wd,Shanghai,NONE,BYD Auto,2022,730.0,70168,5752,180,108.0,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-ev-2wd
FAW Besturn B30EV,Shanghai,NONE,FAW,2022,205.0,12300,5752,140,32.0,108,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-besturn-b30ev
LIFAN LF650,Shanghai,NONE,LIFAN,2018,300.0,7300,5752,140,77.4,43,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/lifan-lf650
Huawei Seres3,"г. Москва, ул.Кировоградская 11 Б",NONE,iEV Motors,2022,405.0,55000,5752,155,53.0,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/huawei-seres3
POLESTAR 2,"Gaoxin road 31,XiAn high-tech zone,XiAn,China",NONE,POLESTAR,2022,568.0,33750,5752,160,78.0,231,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/polestar-2
JAC IEV-7S - crossover,"Москва, Россия",NONE,JAC MOTORS,2021,350.0,52000,5752,130,43.0,116,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/jac-iev-7s
Ford Territory EV,"Витебская область г.Орша, ул. П.Лепешинского, д.67/7",NONE,FORD,2021,450.0,70168,5752,150,60.4,120,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/ford-territory-ev
Hyundai Kona,"г. Орша, ул. П. Лепешинского, 67",NONE,HYUNDAI,2019,460.0,70168,5752,187,64.0,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/hyundai-kona
Honqgi E-HS 9,"г. Орша, ул. П. Лепешинского, 67",NONE,HongQi,2021,510.0,70168,5752,200,80.0,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/honqgi-e-hs-9
Volkswagen e-Lavida,"г.Орша,ул. П.Лепешинского, 67",NONE,VOLKSWAGEN,2020,350.0,22700,5752,180,41.0,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/volkswagen-e-lavida
Xpeng G3 520i,"Витебская область, г.Орша, ул. Лепешинского, 67",NONE,XPENG,2019,400.0,23000,5752,170,66.0,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/xpeng-g3-520i
Chery Tiggo,"г. Орша, ул.Лепешинского, 67",NONE,CHERY,2019,400.0,20800,5752,151,53.6,95,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/chery-tiggo
Volkswagen Lavida,"г.Орша, ул.Лепешинского, 67",NONE,Volkswagen,2024,499.0,22700,5752,187,77.4,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/volkswagen-lavida
Renault City K-ZE,"г.Орша, ул. Лепешинского, 67",NONE,RENAULT,2019,200.0,15505,5752,105,33.0,33,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/renault-city-k-ze
Ora R1 EV Long Range Base,"г. Москва, ул.Кировоградская 11 Б",NONE,GWM ORA UK,2022,310.0,42000,5752,120,33.0,48,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-r1-ev-long-range-base
BAIC EX5 - crossover,"г. Москва, ул. Зацепа 21",NONE,BAIC BJEV,2022,520.0,45000,5752,155,61.8,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-krossover
HongQi E-HS9 6,"г. Москва, ул. Зацепа 21",NONE,HongQi,2022,510.0,170000,5752,200,77.4,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-6
HongQi E-HS9 4,"г. Москва, ул. Зацепа 21",NONE,HongQi,2022,510.0,187000,5752,200,77.4,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-4
Tesla Model X 2016,"г. Москва, ул. Зацепа 21",NONE,TESLA,2016,489.0,92000,5752,220,90.0,762,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-tesla-model-x-2016
Tesla Model 3 Performance 2019,"г. Москва, ул. Зацепа 21",NONE,TESLA,2022,567.0,80000,5752,261,77.4,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2019
Tesla Model 3 Performance 2021,"г. Москва, ул. Зацепа 21",NONE,TESLA,2021,567.0,115000,5752,261,82.0,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2021
Tesla Model S 75D facelift,"г. Москва, ул. Зацепа 21",NONE,TESLA,2016,480.0,66750,5752,225,75.0,541,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-75d-restajling
Tesla Model S 100D Long Range,"г. Москва, ул. Зацепа 21",NONE,TESLA,2019,610.0,119000,5752,225,100.0,562,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-100d-long-range
Taycan Turbo S Cross Turismo,"г. Москва, ул. Зацепа 21",NONE,PORSCHE,2022,452.0,317000,5752,250,93.4,670,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/taycan-turbo-s-cross-turismo
WELTMEISTER EX5-Z FUN,"г. Москва, ул.Кировоградская 11 Б",NONE,VOLVO,2022,400.0,63000,5752,150,54.0,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/weltmeister-ex5-z-fun
Volkswagen ID.4X CROZZ Pure+,"г. Москва, ул.Кировоградская 11 Б",NONE,VOLKSWAGEN,2022,550.0,72000,5752,160,84.0,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-id-4x-crozz-pure
Honda Siming M-NV,"г. Москва, ул.Кировоградская 11 Б",NONE,HONDA,2021,445.0,57900,5752,140,61.0,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/honda-siming-m-nv
Xpeng G3 520i Top Version,"г. Москва, ул.Кировоградская 11 Б",NONE,XPENG,2021,490.0,70130,5752,170,67.0,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/xpeng-g3-520i-top-version
BAIС EX5,"г. Москва, ул.Кировоградская 11 Б",NONE,BAIC BJEV,2019,415.0,49200,5752,150,62.0,208,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5
Polestar 2 Launch Edition,"г. Москва, ул.Кировоградская 11 Б",NONE,POLESTAR,2020,450.0,112500,5752,205,71.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/polestar-2-launch-edition-259
